id_familia,idade,sexo,escolaridade,renda_familiar,qtd_pessoas_familia,possui_deficiencia,situacao_trabalho,tipo_moradia,acesso_agua,acesso_esgoto,recebe_bolsa_familia,cod_municipio,renda_per_capita,vulnerabilidade_idade,infraestrutura_adequada,escolaridade_baixa,situacao_trabalho_precaria,superlotacao,renda_per_capita_norm,score_vulnerabilidade,nivel_vulnerabilidade
8.0,28,F,0,176.0,5,1,0,1,1,1,1,3205002,35.2,0,1,1,1,0,-0.44927528111673964,0.4347825843350219,Alta
45.0,33,F,0,333.0,3,1,0,1,1,1,0,3205200,111.0,0,1,1,1,0,-0.19965836077124768,0.35989750823137434,Alta
68.0,58,M,0,444.0,3,1,1,1,1,1,0,3205002,148.0,0,1,1,1,0,-0.0778136898902028,0.32334410696706084,Alta
90.0,26,F,0,43.0,4,1,1,1,1,1,1,3205101,10.75,0,1,1,1,0,-0.5297915568746192,0.4589374670623858,Alta
92.0,20,F,0,150.0,3,1,0,1,1,1,0,3205002,50.0,0,1,1,1,0,-0.40053741276432164,0.42016122382929655,Alta
111.0,68,F,0,954.0,1,0,0,1,1,1,0,3205101,954.0,1,1,1,1,0,2.5764242757887743,-0.3729272827366323,Média
113.0,25,M,0,410.0,4,1,0,1,1,1,0,3201308,102.5,0,1,1,1,0,-0.227649704081758,0.3682949112245274,Alta
221.0,29,F,0,676.0,2,1,1,1,1,1,0,3205002,338.0,0,1,1,1,0,0.5478751605800276,0.13563745182599174,Alta
300.0,67,F,0,1100.0,2,0,0,1,1,1,0,3205002,550.0,1,1,1,1,0,1.2460121937362847,0.0261963418791146,Alta
320.0,24,F,0,477.0,2,1,0,1,1,0,0,3205200,238.5,0,0,1,1,0,0.22021178888640694,0.38393646333407794,Alta
348.0,26,F,0,288.0,4,1,1,1,1,1,0,3205200,72.0,0,1,1,1,0,-0.328089230078295,0.3984267690234885,Alta
